ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
163175,LGI4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163183,SYNE4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163223,ZNF676,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163227,ZNF100,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163255,ZNF540,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163259,DENND2C,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163351,GBP6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163404,LPPR5,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163479,FNDC7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163486,DENND1B,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163589,TDRD5,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163590,TOR1AIP2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163688,CALML6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163702,IFNLR1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163732,CITED4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163747,C1orf177,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163778,SPRR4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163782,KANK4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163786,SASS6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163859,SDE2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163882,CNST,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163933,FAM43B,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164045,HFM1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164091,PAQR7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164118,TTC24,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164127,CCDC185,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164153,UBL4B,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164237,WFDC13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164284,APCDD1L,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164312,LRRN4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164395,TTLL9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
