ID,ENSEMBL_GENE_ID,GeneName,dise.brain,bio.inter,bio.brain,expre.brain,pathway.brain,tfbs,ASDDenovo,SCZDenovo,scz.drug,scz.literature,scz.animal,depre.drug,depre.literature,bpd.drug,bpd.literature,adhd.drug,adhd.literature,adhd.animal,asd.drug,asd.literature,asd.animal
5896,ENSG00000166349,RAG1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5897,ENSG00000175097,RAG2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5898,ENSG00000006451,RALA,1,1,1,0,1,1,1,0,0,0.006,0,0,0.0248,0,0,0,0,0,0,0,0
5899,ENSG00000144118,RALB,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5900,ENSG00000160271,RALGDS,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5901,ENSG00000132341,RAN,1,1,1,1,1,1,1,0,0,0,0,0,0.0274888888888889,0,0,0,0.0924,0,0,0.1078,0
5902,ENSG00000099901,RANBP1,1,1,2,0,1,1,1,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0
5903,ENSG00000153201,RANBP2,1,1,1,1,1,1,1,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0
5905,ENSG00000100401,RANGAP1,0,1,1,1,1,1,1,0,0,0.0148,0,0,0.0156,0,0,0,0,0,0,0,0
5906,ENSG00000116473,RAP1A,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5908,ENSG00000127314,RAP1B,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5909,ENSG00000076864,RAP1GAP,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5910,ENSG00000138698,RAP1GDS1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5911,ENSG00000125249,RAP2A,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5912,ENSG00000181467,RAP2B,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
5913,ENSG00000165917,RAPSN,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5914,ENSG00000131759,RARA,2,2,2,1,1,1,1,0,0,0.0347,0,0,0.0277,0,0,0,0,0,0,0,0
5915,ENSG00000077092,RARB,2,1,2,0,1,1,1,0,0,0,0,0,0.0351111111111111,0,0,0,0,0,0,0,0
5916,ENSG00000172819,RARG,2,1,1,0,0,1,1,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0
5917,ENSG00000113643,RARS,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5918,ENSG00000118849,RARRES1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5919,ENSG00000106538,RARRES2,1,0,1,0,0,1,0,0,0,0,0,0,0.044,0,0,0,0,0,0,0,0
5920,ENSG00000133321,RARRES3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
